,Event,Category,Name1,Year1,Name2,Year2,Name3,Year3,Name4,Year4,School,QualifyingTime,Time,Place,Points
0, Event 1  Men 200 Yard Medley Relay,Timed Final Relay,"Stokowski, Kacper",SR,"Hunter, Mason",5Y,"Korstanje, Nyls",SR,"Curtiss, David",SO,NC State,1:22.25,1:20.67,1,40
1, Event 1  Men 200 Yard Medley Relay,Timed Final Relay,"Dolan, Jack",SR,"Marchand, Leon",SO,"McCusker, Max",5Y,"Kulow, Jonny",FR,Arizona St,1:21.69,1:21.07,2,34
2, Event 1  Men 200 Yard Medley Relay,Timed Final Relay,"Chaney, Adam",JR,"Savickas, Aleksas",FR,"Friese, Eric",SR,"Liendo, Josh",FR,Florida,1:21.73,1:21.14,3,32
3, Event 1  Men 200 Yard Medley Relay,Timed Final Relay,"Seeliger, Bjorn",JR,"Bell, Liam",SR,"Rose, Dare",JR,"Alexy, Jack",SO,California,1:22.84,1:21.24,4,30
4, Event 1  Men 200 Yard Medley Relay,Timed Final Relay,"Burns, Brendan",SR,"Mathias, Van",5Y,"Frankel, Tomer",JR,"Wight, Gavin",JR,Indiana,1:23.52,1:21.52,5,28
5, Event 1  Men 200 Yard Medley Relay,Timed Final Relay,"Kammann, Bjoern",SO,"Houlie, Michael",5Y,"Crooks, Jordan",SO,"Santos, Guilherme",FR,Tennessee,1:21.43,1:21.59,6,26
6, Event 1  Men 200 Yard Medley Relay,Timed Final Relay,"Lowe, Dalton",JR,"Petrashov, Denis",SR,"Elaraby, Abdelrahman",SR,"Eastman, Michael",5Y,Louisville,1:23.59,1:22.43,7,24
7, Event 1  Men 200 Yard Medley Relay,Timed Final Relay,"Brownstead, Matt",JR,"Nichols, Noah",JR,"Edwards, Max",SR,"Lamb, August",SR,Virginia,1:23.03,1:22.51,8,22
8, Event 1  Men 200 Yard Medley Relay,Timed Final Relay,"Stoffle, Aidan",SR,"Mikuta, Reid",JR,"Stoffle, Nate",SO,"Makinen, Kalle",FR,Auburn,1:22.98,1:22.67,9,18
9, Event 1  Men 200 Yard Medley Relay,Timed Final Relay,"MacAlister, Leon",SR,"Polonsky, Ron",SO,"Minakov, Andrei",JR,"Gu, Rafael",FR,Stanford,1:24.00,1:22.69,10,14
10, Event 1  Men 200 Yard Medley Relay,Timed Final Relay,"Menke, Matt",SR,"Maas, Derek",SR,"Miceli, Mateo",SO,"Korstanje, Tim",FR,Alabama,1:23.72,1:22.70,11,12
11, Event 1  Men 200 Yard Medley Relay,Timed Final Relay,"Foster, Carson",JR,"Chan, Will",5Y,"Corbeau, Caspar",SR,"Krueger, Danny",5Y,Texas,1:23.53,1:22.94,12,10
12, Event 1  Men 200 Yard Medley Relay,Timed Final Relay,"Dunham, Bradley",SR,"Pitshugin, Kris",FR,"Ng, Wesley",JR,"Downing, Dillon",SR,Georgia,1:23.01,1:22.98,13,8
13, Event 1  Men 200 Yard Medley Relay,Timed Final Relay,"Gogulski, Ethan",SR,"Puente Bustamante, Andres",SR,"Foote, Connor",FR,"Bratanov, Koko",SR,Texas A&M,1:23.24,1:23.03,14,6
14, Event 1  Men 200 Yard Medley Relay,Timed Final Relay,"Jekel, Wes",SR,"Myhre, Will",SR,"Bensch, Constantin",SR,"Wiegand, Ben",SO,Wisconsin,1:23.92,1:23.09,15,4
15, Event 1  Men 200 Yard Medley Relay,Timed Final Relay,"Quach, Alex",SO,"Helmuth, Karl",SO,"Ward, James",SR,"Gaziev, Ruslan",JR,Ohio St,1:23.03,1:23.34,16,2
16, Event 1  Men 200 Yard Medley Relay,Timed Final Relay,"Janton, Tommy",FR,"Faikish, Sean",JR,"Wilburn, Cason",SR,"Guiliano, Chris",SO,Notre Dame,1:24.22,1:23.35,17,0
17, Event 1  Men 200 Yard Medley Relay,Timed Final Relay,"Davis, Wyatt",JR,"Fitzpatrick, Brendan",SO,"Cohen Groumi, Gal",SO,"Szabados, Bence",JR,Michigan,1:23.07,1:23.35,17,0
