,Event,Category,Name1,Year1,Name2,Year2,Name3,Year3,Name4,Year4,School,QualifyingTime,Time,Place,Points
0, Event 1  Women 200 Yard Medley Relay,Timed Final Relay,"Walsh, Gretchen",SO,"Walsh, Alex",JR,"Cuomo, Lexi",SR,"Douglass, Kate",SR,Virginia,1:31.73,1:31.51,1,40
1, Event 1  Women 200 Yard Medley Relay,Timed Final Relay,"Berkoff, Katharine",SR,"MacCausland, Heather",SR,"Alons, Kylee",5Y,"Arens, Abby",JR,NC State,1:33.02,1:32.42,2,34
2, Event 1  Women 200 Yard Medley Relay,Timed Final Relay,"Bray, Olivia",JR,"Elendt, Anna",JR,"Sticklen, Emma",JR,"Cooper, Grace",JR,Texas,1:33.70,1:33.22,3,32
3, Event 1  Women 200 Yard Medley Relay,Timed Final Relay,"Funderburke, Nyah",SO,Hannah,SR,Katherine,JR,"Ivan, Teresa",SO,Ohio St,1:33.95,1:33.93,4,30
4, Event 1  Women 200 Yard Medley Relay,Timed Final Relay,"Hay, Abby",SR,"Viberg, Cecilia",FR,"Regenauer, Christiana",SR,"Albiero, Gabi",JR,Louisville,1:34.23,1:34.37,5,28
5, Event 1  Women 200 Yard Medley Relay,Timed Final Relay,"Stadden, Isabelle",JR,"Neser, Jade",JR,"Kragh, Mia",SO,"Davidson, Emma",SR,California,1:35.40,1:34.75,6,26
6, Event 1  Women 200 Yard Medley Relay,Timed Final Relay,"White, Rhyan",5Y,"Wiseman, Avery",SO,"Jones, Emily",FR,"Antoniou, Kalia",5Y,Alabama,1:34.20,1:34.83,7,24
7, Event 1  Women 200 Yard Medley Relay,Timed Final Relay,"Pattison, Greer",SO,"Smith, Skyler",SO,"VanNote, Ellie",SR,"Countie, Grace",SR,UNC,1:34.70,1:35.01,8,22
8, Event 1  Women 200 Yard Medley Relay,Timed Final Relay,"Curzan, Claire",FR,"Raab, Allie",5Y,"Wheal, Emma",SR,"Tang, Amy",SO,Stanford,1:35.42,1:35.44,9,18
9, Event 1  Women 200 Yard Medley Relay,Timed Final Relay,"Famous, Caroline",JR,"Dobler, Kaitlyn",JR,"Delgado, Anicka",JR,"Henderson, Hanna",JR,Southern California,1:35.52,1:35.52,10,14
10, Event 1  Women 200 Yard Medley Relay,Timed Final Relay,"Fuller, Josephine",SO,"McSharry, Mona",JR,"Stotler, Sara",SO,"Rumley, Jasmine",JR,Tennessee,1:35.53,1:35.62,11,12
11, Event 1  Women 200 Yard Medley Relay,Timed Final Relay,"Peplowski, Anna",SO,"Peplowski, Noelle",5Y,"Broshears, Elizabeth",JR,"Paegle, Kristina",FR,Indiana,1:35.98,1:35.96,12,10
12, Event 1  Women 200 Yard Medley Relay,Timed Final Relay,"McCarty, Eboni",SO,"Hartman, Zoie",SR,"Dickinson, Callie",5Y,"Reinstein, Sloane",JR,Georgia,1:36.49,1:36.18,13,8
13, Event 1  Women 200 Yard Medley Relay,Timed Final Relay,"Kaufmann, Noelle",JR,"Sim, Letitia",SO,"Kan, Natalie",SO,"Flynn, Lindsay",SO,Michigan,1:35.96,1:36.24,14,6
14, Event 1  Women 200 Yard Medley Relay,Timed Final Relay,"Sansores De La Fuent, Andrea",5Y,"Ferraguti, Alessia",5Y,"Cothern, Bella",JR,"Melton, Kobie",5Y,Arkansas,1:36.32,1:36.53,15,4
15, Event 1  Women 200 Yard Medley Relay,Timed Final Relay,"Shuppert, Emma",SR,"Gridley, Kaelyn",FR,"Ozkan, Aleyna",JR,"Wall, Tatum",FR,Duke,1:35.98,1:36.72,16,2
16, Event 1  Women 200 Yard Medley Relay,Timed Final Relay,"Quaglieri, Tania",SR,"Mansson, Julia",FR,"Halden, Jenny",JR,"Dicks, Alexandra",SO,Florida St,1:36.37,1:36.93,17,0
17, Event 1  Women 200 Yard Medley Relay,Timed Final Relay,"Murdock, Justine",SO,"Brunzell, Hannah",SR,"Guevara, Miriam",5Y,"Brennan, Jamie",FR,Northwestern,1:36.96,1:36.95,18,0
18, Event 1  Women 200 Yard Medley Relay,Timed Final Relay,"Lee, Meghan",JR,"Makarova, Stasya",SO,"Thamm, Claudia",SR,"Mulvihill, Lexie",SO,Auburn,1:36.02,1:37.00,19,0
19, Event 1  Women 200 Yard Medley Relay,Timed Final Relay,"Rees, Meredith",SR,"Grosse, Malin",FR,"Williams, Taylor",SO,"Moderski, Alex",SR,Missouri,1:36.04,1:37.06,20,0
20, Event 1  Women 200 Yard Medley Relay,Timed Final Relay,"Kosturos, Sophia",SR,"Carlson, Eva",SO,"Dang, Gabby",SR,"Grover, Claire",5Y,UCLA,1:36.64,1:37.43,21,0
21, Event 1  Women 200 Yard Medley Relay,Timed Final Relay,"Brooks, Caitlin",SR,"Phelan, Denise",FR,Lydia,FR,Kaitlynn,SR,Kentucky,1:36.43,1:37.55,22,0
22, Event 1  Women 200 Yard Medley Relay,Timed Final Relay,"Buechler, Jordan",JR,"Perttula, Andrea",SR,"Theall, Olivia",JR,"Kennett, Bobbi",JR,Texas A&M,1:36.88,1:38.26,23,0
23, Event 1  Women 200 Yard Medley Relay,Timed Final Relay,"Runnels, Aris",SO,"Kucheran, Nina",5Y,"Peoples, Olivia",SO,"Mack, Katie",SR,Florida,1:34.76,DQ,---,0
24, Event 2  Women 800 Yard Freestyle Relay,Timed Final Relay,"Canny, Aimee",FR,"Walsh, Alex",JR,"Tiltmann, Reilly",SO,"Nelson, Ella",SR,Virginia,6:55.15,6:49.82,1,40
