,Event,Category,Date,Team,Swimmer,Time
0, Event 1  Men 200 Yard Medley Relay,NCAA,2023-03-22,NC,"K Stokowski, M Hunter, N Korstanje, D Curtiss",1900-01-01 00:01:20.670
1, Event 1  Men 200 Yard Medley Relay,Meet,2023-03-22,NC,"K Stokowski, M Hunter, N Korstanje, D Curtiss",1900-01-01 00:01:20.670
2, Event 1  Men 200 Yard Medley Relay,American,2018-03-23,California,"D Carr, C Hoppe, J Lynch, R Hoffer",1900-01-01 00:01:21.880
3, Event 1  Men 200 Yard Medley Relay,U. S. Open,2023-03-22,NC,"K Stokowski, M Hunter, N Korstanje, D Curtiss",1900-01-01 00:01:20.670
4, Event 1  Men 200 Yard Medley Relay,Pool,2023-03-22,NC,"K Stokowski, M Hunter, N Korstanje, D Curtiss",1900-01-01 00:01:20.670
5, Event 2  Men 800 Yard Freestyle Relay,NCAA,2023-03-22,Texas,"L Hobson, C Carrozza, P Larson, C Foster",1900-01-01 00:06:03.420
6, Event 2  Men 800 Yard Freestyle Relay,Meet,2023-03-22,Texas,"L Hobson, C Carrozza, P Larson, C Foster",1900-01-01 00:06:03.420
7, Event 2  Men 800 Yard Freestyle Relay,American,2023-03-22,Texas,"L Hobson, C Carrozza, P Larson, C Foster",1900-01-01 00:06:03.420
8, Event 2  Men 800 Yard Freestyle Relay,U. S. Open,2023-03-22,Texas,"L Hobson, C Carrozza, P Larson, C Foster",1900-01-01 00:06:03.420
9, Event 2  Men 800 Yard Freestyle Relay,Pool,2023-03-22,Texas,"L Hobson, C Carrozza, P Larson, C Foster",1900-01-01 00:06:03.420
10, Event 3  Men 500 Yard Freestyle,NCAA,2020-02-19,Florida,Kieran Smith,1900-01-01 00:04:06.320
11, Event 3  Men 500 Yard Freestyle,Meet,2022-03-24,Georgia,Matthew Sates,1900-01-01 00:04:06.610
12, Event 3  Men 500 Yard Freestyle,American,2020-02-19,Florida,Kieran Smith,1900-01-01 00:04:06.320
13, Event 3  Men 500 Yard Freestyle,U. S. Open,2020-02-19,Florida,Kieran Smith,1900-01-01 00:04:06.320
14, Event 3  Men 500 Yard Freestyle,Pool,2023-03-23,Texas,Luke Hobson,1900-01-01 00:04:07.370
20, Event 4  Men 200 Yard IM,NCAA,2023-03-23,ASU,Leon Marchand,1900-01-01 00:01:36.340
21, Event 4  Men 200 Yard IM,Meet,2023-03-23,ASU,Leon Marchand,1900-01-01 00:01:36.340
22, Event 4  Men 200 Yard IM,American,2023-03-23,California,Destin Lasco,1900-01-01 00:01:38.100
23, Event 4  Men 200 Yard IM,U. S. Open,2023-03-23,ASU,Leon Marchand,1900-01-01 00:01:36.340
24, Event 4  Men 200 Yard IM,Pool,2023-03-23,ASU,Leon Marchand,1900-01-01 00:01:36.340
30, Event 5  Men 50 Yard Freestyle,NCAA,2018-03-22,Florida,Caeleb Dressel,1900-01-01 00:00:17.630
31, Event 5  Men 50 Yard Freestyle,Meet,2018-03-22,Florida,Caeleb Dressel,1900-01-01 00:00:17.630
32, Event 5  Men 50 Yard Freestyle,American,2018-03-22,Florida,Caeleb Dressel,1900-01-01 00:00:17.630
33, Event 5  Men 50 Yard Freestyle,U. S. Open,2018-03-22,Florida,Caeleb Dressel,1900-01-01 00:00:17.630
34, Event 5  Men 50 Yard Freestyle,Pool,2018-03-22,Florida,Caeleb Dressel,1900-01-01 00:00:17.630
40, Event 7  Men 200 Yard Freestyle Relay,NCAA,2023-03-23,Florida,"J Liendo, A Chaney, E Friese, M McDuff",1900-01-01 00:01:13.350
41, Event 7  Men 200 Yard Freestyle Relay,Meet,2023-03-23,Florida,"J Liendo, A Chaney, E Friese, M McDuff",1900-01-01 00:01:13.350
42, Event 7  Men 200 Yard Freestyle Relay,American,2022-02-16,Virginia,"M Brownstead, M King, C Boyle, A Lamb",1900-01-01 00:01:14.470
43, Event 7  Men 200 Yard Freestyle Relay,U. S. Open,2023-03-23,Florida,"J Liendo, A Chaney, E Friese, M McDuff",1900-01-01 00:01:13.350
44, Event 7  Men 200 Yard Freestyle Relay,Pool,2023-03-23,Florida,"J Liendo, A Chaney, E Friese, M McDuff",1900-01-01 00:01:13.350
45, Event 8  Men 400 Yard IM,NCAA,2023-03-24,ASU,Leon Marchand,1900-01-01 00:03:28.820
46, Event 8  Men 400 Yard IM,Meet,2023-03-24,ASU,Leon Marchand,1900-01-01 00:03:28.820
47, Event 8  Men 400 Yard IM,American,2017-03-24,Georgia,Chase Kalisz,1900-01-01 00:03:33.420
48, Event 8  Men 400 Yard IM,U. S. Open,2023-03-24,ASU,Leon Marchand,1900-01-01 00:03:28.820
49, Event 8  Men 400 Yard IM,Pool,2023-03-24,ASU,Leon Marchand,1900-01-01 00:03:28.820
55, Event 9  Men 100 Yard Butterfly,NCAA,2018-03-23,Florida,Caeleb Dressel,1900-01-01 00:00:42.800
56, Event 9  Men 100 Yard Butterfly,Meet,2018-03-23,Florida,Caeleb Dressel,1900-01-01 00:00:42.800
57, Event 9  Men 100 Yard Butterfly,American,2018-03-23,Florida,Caeleb Dressel,1900-01-01 00:00:42.800
58, Event 9  Men 100 Yard Butterfly,U. S. Open,2018-03-23,Florida,Caeleb Dressel,1900-01-01 00:00:42.800
59, Event 9  Men 100 Yard Butterfly,Pool,2018-03-23,Florida,Caeleb Dressel,1900-01-01 00:00:42.800
65, Event 10  Men 200 Yard Freestyle,NCAA,2019-03-27,Harvard,Dean Farris,1900-01-01 00:01:29.150
66, Event 10  Men 200 Yard Freestyle,Meet,2019-03-27,Harvard,Dean Farris,1900-01-01 00:01:29.150
67, Event 10  Men 200 Yard Freestyle,American,2019-03-27,Harvard,Dean Farris,1900-01-01 00:01:29.150
68, Event 10  Men 200 Yard Freestyle,U. S. Open,2019-03-27,Harvard,Dean Farris,1900-01-01 00:01:29.150
